gene,drought_3_cnt
A2J10_07T0241500.1,237
A2J10_01T0374500.2,949
A2J10_01T0374500.1,1077
A2J10_06T0301500.1,397
A2J10_03T0214200.2,66
A2J10_03T0214200.1,54
A2J10_02T0245300.1,105
A2J10_05T0027500.3,218
A2J10_05T0027500.1,151
A2J10_05T0027500.2,178
A2J10_12T0183400.1,4
A2J10_03T0027600.1,805
A2J10_03T0027600.2,906
A2J10_11T0189500.3,1003
A2J10_11T0189500.2,871
A2J10_11T0189500.1,929
A2J10_03T0106000.1,143
A2J10_12T0175700.3,455
A2J10_12T0175700.2,586
A2J10_12T0175700.1,459
A2J10_01T0184200.1,6
A2J10_05T0181900.1,34
A2J10_09T0155500.2,2
A2J10_09T0155500.3,2
A2J10_11T0005300.1,44
A2J10_04T0032800.1,1311
A2J10_08T0120000.1,594
A2J10_07T0232500.1,74
A2J10_07T0232500.2,76
A2J10_07T0232500.6,3
A2J10_07T0232500.7,4
A2J10_07T0232500.3,74
A2J10_07T0200100.1,781
A2J10_08T0195700.1,61
A2J10_10T0058900.1,8
A2J10_01T0294800.1,160
A2J10_10T0030800.2,95
A2J10_10T0030800.1,83
A2J10_09T0184400.1,98
A2J10_03T0050100.2,406
A2J10_03T0050100.3,418
A2J10_03T0050100.5,324
A2J10_03T0050100.6,175
A2J10_03T0050100.1,390
A2J10_03T0050100.4,412
A2J10_06T0072600.1,49
A2J10_10T0169300.1,1
A2J10_02T0069800.1,113
A2J10_02T0069800.2,97
A2J10_02T0069800.3,96
A2J10_01T0379300.2,183
A2J10_01T0379300.1,23
A2J10_08T0155100.1,58
A2J10_08T0155100.2,142
A2J10_06T0172600.1,86
A2J10_06T0172600.2,83
A2J10_07T0193200.1,45
A2J10_07T0267300.2,1723
A2J10_07T0267300.1,2369
A2J10_05T0175000.3,409
A2J10_05T0175000.4,408
A2J10_05T0175000.2,410
A2J10_05T0175000.1,419
A2J10_02T0188600.1,726
A2J10_10T0011000.1,42
A2J10_02T0387200.1,3
A2J10_11T0169600.1,873
A2J10_08T0137400.1,995
A2J10_12T0172700.1,48
A2J10_09T0181200.1,2
A2J10_09T0181200.2,2
A2J10_08T0106800.1,119
A2J10_06T0085200.1,14
A2J10_10T0094300.1,79
A2J10_12T0023300.1,196
A2J10_09T0103500.1,206
A2J10_12T0175900.1,1
A2J10_12T0175900.3,4
A2J10_12T0175900.2,4
A2J10_12T0175900.4,4
A2J10_11T0084400.1,23
A2J10_04T0202700.1,268
A2J10_12T0081800.4,134
A2J10_12T0081800.2,136
A2J10_12T0081800.1,134
A2J10_12T0081800.5,112
A2J10_12T0081800.3,136
A2J10_09T0076500.1,3876
A2J10_09T0052000.1,2
A2J10_06T0128300.1,66
A2J10_06T0070300.1,1609
A2J10_04T0177300.1,789
A2J10_06T0076900.3,281
A2J10_06T0076900.2,533
A2J10_06T0076900.1,630
A2J10_11T0193600.1,63
A2J10_05T0111500.1,1
A2J10_11T0004300.1,12
A2J10_01T0289000.3,473
A2J10_01T0289000.1,495
A2J10_01T0289000.2,531
A2J10_10T0055500.1,33
A2J10_11T0031800.4,546
A2J10_11T0031800.2,680
A2J10_11T0031800.5,545
A2J10_11T0031800.3,534
A2J10_11T0031800.1,669
A2J10_02T0045200.4,111
A2J10_02T0045200.3,105
A2J10_02T0045200.2,43
A2J10_02T0045200.1,34
A2J10_06T0081500.1,8
A2J10_10T0121800.2,1766
A2J10_10T0121800.1,1620
A2J10_01T0492700.2,70
A2J10_01T0492700.1,283
A2J10_01T0492700.3,76
A2J10_01T0164500.1,173
A2J10_09T0012200.1,2071
A2J10_02T0375700.2,5495
A2J10_02T0375700.1,4935
A2J10_01T0412500.1,10
A2J10_06T0274100.1,82
A2J10_06T0196300.2,20
A2J10_06T0196300.3,16
A2J10_06T0196300.1,33
A2J10_11T0043800.2,307
A2J10_11T0043800.1,308
A2J10_01T0279900.1,1127
A2J10_03T0286300.1,3
A2J10_03T0274500.1,583
A2J10_11T0232400.1,123
A2J10_02T0332000.1,357
A2J10_08T0220700.4,2
A2J10_08T0220700.1,199
A2J10_08T0220700.2,193
A2J10_08T0220700.3,193
A2J10_03T0256600.1,5
A2J10_07T0073600.1,33
A2J10_01T0093500.1,166
A2J10_05T0041100.1,240
A2J10_05T0041100.2,251
A2J10_05T0018300.2,11
A2J10_05T0018300.3,15
A2J10_05T0018300.4,7
A2J10_05T0018300.1,17
A2J10_04T0202300.3,293
A2J10_04T0202300.1,1264
A2J10_04T0202300.2,315
A2J10_04T0202300.4,293
A2J10_12T0092400.1,2
A2J10_03T0368300.1,244
A2J10_01T0258500.1,6
A2J10_01T0369800.1,269
A2J10_01T0369800.2,280
A2J10_01T0369800.3,271
A2J10_11T0138800.1,253
A2J10_10T0163500.1,70
A2J10_11T0012800.1,2
A2J10_03T0114900.3,2282
A2J10_03T0114900.5,800
A2J10_03T0114900.4,800
A2J10_03T0114900.2,2255
A2J10_03T0114900.1,1968
A2J10_02T0211500.1,19
A2J10_08T0213400.1,61
A2J10_08T0213400.2,96
A2J10_07T0039200.1,1
A2J10_09T0001100.1,73
A2J10_09T0001100.2,76
A2J10_03T0336300.1,93
A2J10_02T0253200.1,200
A2J10_01T0334000.1,5
A2J10_06T0208700.1,4
A2J10_06T0038500.1,922
A2J10_04T0131300.1,472
A2J10_04T0268600.1,144
A2J10_03T0239100.1,10
A2J10_03T0333600.1,524
A2J10_03T0097400.1,165
A2J10_01T0279000.2,263
A2J10_01T0279000.1,245
A2J10_02T0350200.1,448
A2J10_06T0283700.1,23
A2J10_01T0045800.2,172
A2J10_01T0045800.1,188
A2J10_05T0269200.1,133
A2J10_01T0473500.1,132
A2J10_06T0103000.1,6
A2J10_11T0000200.1,60
A2J10_02T0103500.1,17
A2J10_01T0301600.4,472
A2J10_01T0301600.2,516
A2J10_01T0301600.1,490
A2J10_01T0301600.3,554
A2J10_02T0360800.1,376
A2J10_08T0108300.1,418
A2J10_08T0108300.2,426
A2J10_02T0089900.1,5
A2J10_06T0051000.3,933
A2J10_06T0051000.2,871
