gene,control_1_cnt
A2J10_03T0256600.1,18
A2J10_07T0073600.1,70
A2J10_01T0093500.1,161
A2J10_05T0041100.1,285
A2J10_05T0041100.2,295
A2J10_05T0018300.2,50
A2J10_05T0018300.3,51
A2J10_05T0018300.4,50
A2J10_05T0018300.1,53
A2J10_04T0202300.3,408
A2J10_04T0202300.1,1530
A2J10_04T0202300.2,479
A2J10_04T0202300.4,409
A2J10_02T0036900.1,1
A2J10_12T0092400.1,5
A2J10_03T0368300.1,192
A2J10_01T0258500.1,1
A2J10_01T0369800.1,291
A2J10_01T0369800.2,299
A2J10_01T0369800.3,313
A2J10_11T0138800.1,337
A2J10_10T0163500.1,205
A2J10_03T0114900.3,3151
A2J10_03T0114900.5,1139
A2J10_03T0114900.4,1137
A2J10_03T0114900.2,3107
A2J10_03T0114900.1,2749
A2J10_02T0266800.1,4
A2J10_02T0211500.1,17
A2J10_06T0141500.1,3
A2J10_02T0141700.1,13
A2J10_08T0213400.1,78
A2J10_08T0213400.2,108
A2J10_07T0039200.1,1
A2J10_09T0001100.1,60
A2J10_09T0001100.2,67
A2J10_06T0070400.1,7
A2J10_03T0336300.1,186
A2J10_02T0253200.1,260
A2J10_01T0334000.1,7
A2J10_02T0216400.1,6
